master_category	image_count	years_present	top_source_themes	example_images
Weather, Light, and Atmosphere	786	2023	[["moody atmospheric landscape", 380], ["stormy weather", 291], ["sunset or sunrise", 79], ["indoor", 21], ["dramatic sky", 15]]	["2023/04/25/IMG_4824.jpeg", "2023/04/25/IMG_4825.jpeg", "2023/04/25/IMG_4826.jpeg", "2023/04/25/IMG_4857.jpeg", "2023/04/25/IMG_4858.jpeg"]
Waterside and Harbour	405	2023	[["waterside or river", 405]]	["2023/04/24/IMG_4685.jpeg", "2023/04/24/IMG_4686.jpeg", "2023/04/24/IMG_4687.jpeg", "2023/04/24/IMG_4688.jpeg", "2023/04/24/IMG_4689.jpeg"]
Landscape	308	2023	[["countryside landscape", 256], ["coastal landscape", 52]]	["2023/10/DSC02857.ARW", "2023/10/DSC02858.ARW", "2023/10/DSC02859.ARW", "2023/10/DSC02880.ARW", "2023/10/DSC02888.ARW"]
Place and Travel	263	2023	[["old building or historic architecture", 233], ["village, town, or street", 30]]	["2023/04/24/IMG_4511.jpeg", "2023/04/24/IMG_4518.jpeg", "2023/04/24/IMG_4519.jpeg", "2023/04/24/IMG_4564.jpeg", "2023/04/24/IMG_4565.jpeg"]
Other / Uncertain	253	2023	[["indoor", 253]]	["2023/04/29/IMG_5714.jpeg", "2023/04/29/IMG_5715.jpeg", "2023/04/29/IMG_5717.jpeg", "2023/04/29/IMG_5719.jpeg", "2023/04/29/IMG_5720.jpeg"]
Nature Detail	100	2023	[["garden", 57], ["tree or foliage", 43]]	["2023/04/25/IMG_4763.jpeg", "2023/04/25/IMG_4765.jpeg", "2023/04/25/IMG_4766.jpeg", "2023/04/25/IMG_4767.jpeg", "2023/04/25/IMG_4768.jpeg"]
People and Human Presence	54	2023	[["indoor", 48], ["portrait of one person", 6]]	["2023/04/27/IMG_5268.jpeg", "2023/04/27/IMG_5269.jpeg", "2023/04/27/IMG_5270.jpeg", "2023/04/30/IMG_5751.JPG", "2023/04/30/IMG_5752.JPG"]
Wildlife	8	2023	[["bird or wildlife", 8]]	["2023/10/DSC02958.ARW", "2023/10/DSC02959.ARW", "2023/10/DSC02960.ARW", "2023/10/DSC02961.ARW", "2023/10/DSC02962.ARW"]
